"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Abdirahman Salad",67.3864094322296,"15","Black","Male","","2020-01-30","Columbus Division of Police","Gunshot","At 6:10 p.m., police got a call about a robbery at a CVS. When officers arrived on the scene, people reportedly were running out of the store and the boy, Abdirahman Salad, was still inside with a gun. Officers located Salad inside the store. Salad allegedly confronted the officers, and Officers Benjamin Hetzer and Thomas Pezzott II shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",43213,"Columbus","OH",39.966814,-82.87413,"https://abc6onyourside.com/news/local/columbus-police-responding-to-officer-involved-shooting-on-east-side"
"Abdoulaye Thiam",6.75343791859778,"20","Black","Male","https://www.fatalencounters.org/wp-content/uploads/2019/01/Abdoulaye-Thiam.jpg","2019-01-02","Memphis Police Department","Gunshot","Police were called to a home at 8 p.m. for a domestic disturbance. When officers arrived, a man confronted them with a knife. Abdoulaye Thiam was shot and killed.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","knife","other","Not fleeing","Yes",38116,"Memphis","TN",35.03319,-90.01128,"http://www.wmcactionnews5.com/2019/01/03/investigators-identify-man-killed-by-memphis-police-whitehaven/"
"Abdul Kamal",7.92008319905323,"30","Black","Male","http://media.nj.com/essex_impact/photo/2014/09/10/15815061-small.png","2013-11-11","Irvington Police Department","Gunshot","After breaking into his estranged wife's apartment, Kamal was confronted by police who demanded him to take his hands out of his pockets. Officers first pepper-sprayed the unarmed Kamal before shooting him. A grand jury is still investigating the shooting, and Kamal's mother has lead several protests and demands for legal action.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","","","",7111,"Irvington","NJ",40.725651,-74.23207,"http://www.nj.com/essex/index.ssf/2013/11/man_shot_during_clash_with_irvington_police_was_not_armed_made_threats_toward_officers.html"
"Abdul Razak Ali Artan",30.8198183972673,"18","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Abdul-Razak-Ali-Artan.jpg","2016-11-28","Ohio State University Police Department","Gunshot","Artan ran his car into a crowd at Ohio State University then got out and started slashing with a knife. He ran a short distance away before he was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",43210,"Columbus","OH",40.003681,-83.02148,"http://www.dispatch.com/content/stories/local/2016/11/28/active-shooter.html"
"Abel Correa",7.59337419312129,"24","Hispanic","Male","http://www.reviewjournal.com/sites/default/files/styles/large/public/field/media/1003395444%2520OISBRIEFING_0815.jpg?itok=K0Dq-QFt","2015-08-07","Las Vegas Metropolitan Police Department","Gunshot","Correa was apparently found hiding in a closet of a home police were investigating for a broken window. Police said Correa lunged at officers with a sharp object.","Justified by District Attorney","No known charges","Yes","Unclear","sharp object","other","Not fleeing","Yes",89147,"Las Vegas","NV",36.113059,-115.27343,"http://www.reviewjournal.com/news/las-vegas/police-shoot-kill-man-holding-sharp-object"
"Adam Cunningham",11.975148906897,"46","White","Male","https://fatalencounters.org/wp-content/uploads/2021/03/Adam-Lee-Cunningham.jpg","2021-03-01","Franklin County Sheriff's Office","Gunshot","A Franklin County sheriff's deputy responded to a burglary in progress at a home outside of Ozark. The deputy encountered Cunningham in the driveway allegedly holding a bat. The deputy ordered Cunningham to drop the bat, and Cunningham allegedly refused and began to walk towards the deputy. The deputy then shot Cunningham, killing him. ","Pending investigation","No known charges","No","Allegedly Armed","baseball bat","other","other","no",72949,"Ozark","AR",35.549469,-93.81819,"https://wreg.com/news/bat-wielding-man-shot-killed-by-arkansas-police/"
"Adam Easte",6.91075078796194,"35","Unknown Race","Male","","2018-08-24","Jefferson County Sheriff's Office, Herculaneum Police Department, Festus Police Department","Gunshot","Adam Easte was shot and killed by police during a vehicle chase. The car crashed into a home when Easte was shot.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Car","",63028,"Festus","MO",38.187767,-90.4077,"https://fox2now.com/2018/08/24/police-fatally-shoot-driver-in-i-55-chase-incident-may-be-related-to-sex-offender-warning/"
"Adam Martinez",144.436972953923,"36","Hispanic","Male","","2019-10-21","Denver Police Department","Gunshot","Adam Martinez tried to steal a vehicle, then successfully stole an officer's car as police tried to track him down in relation to the original attempted carjacking. After stealing the car, Martinez drove to west Denver, allegedly pointing an officer's rifle at officers. Eventually, officers disabled the vehicle. Martinez reportedly pointed the rifle at officers, and they shot and killed him.","Justified by District Attorney","No known charges","No","Allegedly Armed","gun","attack","Car","No",80204,"Denver","CO",39.734686,-105.01966,"https://www.thedenverchannel.com/news/local-news/man-shot-and-killed-by-denver-police-monday-after-allegedly-stealing-squad-car-identified"
"Adam Michael McCoy",52.5438699571194,"28","White","Male","https://fatalencounters.org/wp-content/uploads/2019/05/Adam-Michael-McCoy.jpg","2019-05-23","Pearl River County Sheriff's Office","Gunshot","About 3 p.m., a deputy reportedly saw Adam McCoy driving a vehicle on White Chapel Road. The deputy attempted to stop the vehicle, but the driver fled. The deputy pursued the vehicle until it crashed. As the deputy pulled up to the crash, he allegedly was fired upon. The deputy shot and killed McCoy.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Car","No",39426,"Carriere","MS",30.641521,-89.65929,"https://www.wlbt.com/2019/05/24/one-man-dead-after-deputy-involved-shooting-pearl-river-county/"
"Adam Thomas",38.5578820694079,"27","White","Male","","2014-11-08","U.S. Border Patrol","Gunshot","Sheriff's deputies were dispatched on an assault call, but when they pulled up to the home they found the victim suffering from multiple gunshot wounds, Riverside County sheriff's Deputy Patty Stoyer said. The victim, identified as Adam Thomas, 27, of Moreno Valley, was taken to a hospital where he was pronounced dead, Stoyer said. Sheriff's deputies arrested suspect Demery in connection with the shooting. He was booked on suspicion of murder.","Charged, Convicted of second-degree murder","Charged, Convicted","No","Unarmed/Did Not Have Actual Weapon","no object","","","",92544,"Hemet","CA",33.708843,-116.90948,"http://www.nbclosangeles.com/news/local/Argument-Leads-to-Deadly-Shooting-in-Hemet-Police-282031501.html"
"Adam Toledo",416.693403009757,"13","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Adam-Toledo.jpg","2021-03-29","Chicago Police Department","Gunshot","Officers responded to a ShotSpotter alert and found two males in a nearby alley. One person fled from officers and a foot pursuit ensued. There was a confrontation in an alley and an officer shot and killed Toledo. The second person was arrested. ","Pending investigation","No known charges","No","Unclear","undetermined","other","foot","yes",60623,"Chicago","IL",41.850232,-87.718,"https://wgntv.com/news/chicago-news/13-year-old-idd-as-person-fatally-shot-by-police-in-little-village/"
"Adam Trammell",11.6490460028635,"22","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Adam-Trammell.png","2017-05-25","West Milwaukee Police Department","Taser","Officers were called to an apartment complex for a report of a ""suspicious male"" in the building. Reports indicated the man, 22, was naked, speaking incoherently and flooding an apartment, police said. A stun gun was used on the man because he was uncooperative. He died after being shocked.","Justified by District Attorney","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","Yes",53214,"Milwaukee","WI",43.020363,-88.01273,"http://www.wisn.com/article/man-confirmed-dead-after-large-police-response-in-west-milwaukee/9932238"
"Adonis Traughber",26.1175778233435,"54","Unknown Race","Male","","2021-05-08","Clarksville Police Department","Gunshot","Traughber shot his ex-girlfriend Shequita Jones and called the police, requesting a SWAT team. Police arrived and asked Traughber to put his gun down. Jones heard Traughber state he was surrendering, before police shot and killed him. ","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","not fleeing","no",NA,"","",36.5695,-87.342,"https://www.wsmv.com/news/ex-girlfriend-recounts-domestic-dispute-that-ended-in-an-officer-involved-shooting/article_f0e044c2-b138-11eb-a207-6375f1c167de.html"
"Adrian Gonzalez",55.9419838440853,"27","Hispanic","Male","","2017-05-12","Harris County Sheriff's Office","Gunshot","Off-duty deputies were working security at Johnny B's Outlaw Saloon. They heard gunshots, came running out and saw Adrian Gonzalez firing his weapon and shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","",77015,"Houston","TX",29.778526,-95.18118,"http://www.khou.com/news/local/2-off-duty-deputies-involved-in-deadly-shooting-in-ne-harris-county-1/439104111"
"Adrian Hernandez",83.8066217209606,"23","Hispanic","Male","http://www.turnto23.com/news/local-news/pursuit-ends-in-gunfire-near-garces-high-school","2015-03-27","Bakersfield Police Department","Gunshot","The suspect in a rape and murder, Hernandez set fire to his ex's house and led police on a chase, ending when he got out of his car brandishing a gun.","Pending investigation/No Known Charges","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","toy weapon","attack","Car","No",93305,"Bakersfield","CA",35.387058,-118.98647,"http://www.turnto23.com/news/local-news/pursuit-ends-in-gunfire-near-garces-high-school"
"Adrian Jason Roberts",11.2767093386675,"37","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/08/AdrianRoberts2.jpg","2020-08-18","Cumberland County Sheriff's Office","Gunshot","Deputies were trying to serve an involuntary commitment order on a man 4:45 p.m. Adrian Jason Roberts was the subject of the order. When deputies made contact with Roberts, he allegedly charged at them with a machete. One of the deputies shot and killed him.","Pending investigation","No known charges","Yes","Allegedly Armed","machete","other","","No",28306,"Fayetteville","NC",35.003712,-78.92179,"https://www.cbs17.com/news/local-news/cumberland-county-news/man-with-machete-who-charged-at-deputy-is-shot-killed-in-cumberland-county-officials-say/"
"Adrian Montesano",0.693147180559945,"27","White","Male","http://i.dailymail.co.uk/i/pix/2013/12/11/article-2521664-1A03904800000578-615_306x429.jpg","2013-12-10","Miami-Dade Police Department","Gunshot","Montesano's attempted robbery of a Walgreen's turned into a multi-hour manhunt with numerous officers injured before ending in a fatal shootout. Montesano and Corsini Valdes, who were both unarmed, were hit dozens of times as around 23 police officers fired hundreds of rounds into the car.","Pending investigation/No Known Charges","No known charges","Drug or alcohol use","Unarmed/Did Not Have Actual Weapon","no object","","","",33147,"Miami","FL",25.850124,-80.23773,"http://miami.cbslocal.com/2014/05/06/police-shooting-frenzy-raises-concerns/"
"Adrian Williams",35.6917464799582,"29","Black","Male","https://ionenewpittsburghcourier.files.wordpress.com/2014/06/adrian-k-williams.jpg","2014-04-21","Pittsburgh Bureau of Police","Gunshot","Police began pursuing Williams after they saw him get into a car that allegedly had a gun in it. Williams crashed into a brick wall and attempted to flee on foot. One of the officers, believing Williams to be armed and dangerous, shot the suspect six times, including twice in the back. Incident captured on police dash cam. District attorney ruled shooting justified. Officer who shot Williams was involved in a previous fatal encounter.","Justified","No known charges","No","Allegedly Armed","gun","","","",15221,"Pittsburgh","PA",40.438035,-79.87191,"http://triblive.com/news/allegheny/6036085-74/zappala-officer-police#axzz3Gj9fLtSM"
"Akai Gurley",107.445600035124,"28","Black","Male","http://assets.nydailynews.com/polopoly_fs/1.2019467.1416607065!/img/httpImage/image.jpg_gen/derivatives/article_970/article-cop-1121.jpg?enlarged","2014-11-20","New York Police Department","Gunshot","Gurley was in stairwell of his building by rookie cop who was not supposed to be patrolling that building. Cop entered stairwell with gun drawn although there had been no threat to him from anyone.","Charged, Convicted of second-degree manslaughter and one count of official misconduct, Sentenced to five years probation.","Charged, Convicted, Sentenced to 5 years probation.","No","Unarmed/Did Not Have Actual Weapon","no object","","","",11208,"Brooklyn","NY",40.672666,-73.87248,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&cad=rja&uact=8&ved=0CDIQFjAF&url=http%3A%2F%2Fwww.nydailynews.com%2Fnew-york%2Fbrooklyn%2Fexclusive-texted-union-rep-akai-gurley-lay-dying-article-1.2034219&ei=n7yDVOa7Oqq1sQS6m4KwCw&usg=AFQjCNE87vpjBnlYPsaq_lb_3vYJdQ2wIQ&sig2=FoA48aisQbla3dU9DhfjZw"
"Akbar Muhammad Eaddy",10.8053547637446,"27","Black","Male","","2020-10-16","Rock Island Police Department","Gunshot","Officers responded to a call regarding aggravated domestic battery. Eaddy left in a car with others before police arrived. Police found the vehicle in the area of 24th Street and 7th Avenue. Eaddy slowed for the traffic stop and then fled. A gunfight ensued when officers attempted to set up a perimeter and fired on Eaddy. ","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Other","Yes",61201,"Rock Island","IL",41.4903,-90.56956,"https://qctimes.com/news/local/update-coroner-identifies-man-killed-in-running-gunfight-with-rock-island-police/article_13a8a341-ab05-549a-a96b-28d3cdacbcc5.html"
"Al Pickett",79.3627105588342,"52","Black","Male","","2013-08-20","Troy Police Department","Gunshot","Police were called to a residence where Pickett had stabbed a woman several times, and were met by the 52-year-old holding a gun. An officer fatally shot Pickett when he refused to drop the weapon.","Unreported","No known charges","No","Allegedly Armed","gun","","","",45373,"Troy","OH",40.036525,-84.20629,"http://www.daytondailynews.com/news/news/crime-law/troy-police-investigate-reported-shooting/nZTsq/"
"Alaina Burns",14.3596518017815,"31","Unknown Race","Female","","2020-12-28","Clatsop County Sheriff's Office","Gunshot","Police responded to a burglary in progress at a home at about 1:40 p.m. The caller said Alaina Burns had walked into his unlocked home and barricaded herself in one of the rooms. The room contained several firearms. Burns allegedly fired at least one round inside the home and then left through the back door and made her way to the roof where she allegedly pointed a gun in the officer's direction. A trooper shot and killed her.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",97146,"Warrenton","OR",46.136322,-123.91753,"https://www.kptv.com/news/officer-shoots-kills-burglary-suspect-clatsop-county/article_ebcf4df4-4980-11eb-a085-334dd720141d.html"
"Alan James",68.203029112811,"31","White","Male","http://www.killedbypolice.net/victims/150111.jpg","2015-01-29","Wyoming Police Department","Gunshot","James was living in the home with his second wife at the time of the incident. When officers arrived at the scene, they were able to get a her out of the house.After James allegedly opened fire, police returned fire and James was struck in the chest with a bullet. ","Justified","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",49548,"Grand Rapids","MI",42.868228,-85.66391,"http://woodtv.com/2015/02/07/suspect-in-officer-shooting-to-be-taken-off-life-support/"
"Alan Rushton",7.46965417293213,"38","White","Male","https://localtvwghp.files.wordpress.com/2015/08/untitled-213.jpg?w=770","2015-08-21","Wake Forest Police Department","Gunshot","Rushton barricaded himself in a room, then charged police with a kitchen knife when they tried to take him into custody.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","other","Not fleeing","No",27587,"Wake Forest","NC",35.97154,-78.52241,"http://www.wral.com/police-wake-forest-man-charged-officers-with-knife-before-being-shot/14847812/"
"Albert Davis",7.66715825531915,"23","Black","Male","http://www.killedbypolice.net/victims/150630.jpg","2015-07-17","Orlando Police Department","Gunshot, Taser","Davis was involved in a 'very, very violent' struggle with an officer, according to police. The officer had been called after reports of a fight in the area involving five men. The officer deployed his Taser and then fired his gun once, striking Davis. Davis later died in hospital.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","attack","Foot","No",32812,"Orlando","FL",28.493531,-81.32609,"http://www.orlandosentinel.com/news/breaking-news/os-orlando-police-suspect-shooting-20150717-story.html"
"Albert Wheeler",2.19722457733622,"50","White","Male","https://fatalencounters.org/wp-content/uploads/2020/09/AlbertWheeler.jpg","2020-09-01","Sacramento Police Department","Gunshot","Police officers arrived at a home around 4 p.m., seeking a white man who allegedly attempted to kill a police officer. After an approximately three-hour standoff, the man was seen fleeing out the back of the home, and he was shot and killed. A gun was allegedly found.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Foot","Yes",95833,"Sacramento","CA",38.616891,-121.49623,"https://www.sacbee.com/news/local/crime/article245428215.html"
"Alberto Rivas",11.5490645115861,"57","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Alberto-Al-Rivas.jpg","2020-10-16","Huntsville Police Department","Gunshot","An officer shot Rivas after he pointed a gun at police. Police arrived at Rivas' residence responding to a 911 call, the nature of the call has not been released yet.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",35803,"Huntsville","AL",34.603017,-86.54293,"https://www.al.com/news/2020/10/man-dies-after-being-shot-by-huntsville-police-officer.html"
"Alejandro ""Alex"" Nieto",5.03695260241363,"28","Hispanic","Male","http://hiphopandpolitics.com/wp-content/uploads/2014/03/Screen-Shot-2014-03-25-at-7.43.54-PM.png","2014-03-21","San Francisco Police Department","Gunshot","Police officers were investigating reports of a man with a gun at Bernal Heights Park, acting erratically and threatening passersby. Police said he appeared to reach for a weapon - friends and witnesses suggested it was a Taser stun gun - and officers shot and killed him.","Unreported","No known charges","Yes","Allegedly Armed","taser","","","",94110,"San Francisco","CA",37.74873,-122.41545,"http://www.sfgate.com/crime/article/Man-killed-by-S-F-police-was-inspiration-but-5344159.php"
"Alejandro Alvarado",130.364630401315,"35","Hispanic","Male","","2017-07-27","Chowchilla Police Department, California Highway Patrol","Gunshot, Taser","Chowchilla Police responded to a disturbance call around 11 p.m. When authorities arrived, they found Alejandro Alvarado had started a fire in the street's gutter. Alvarado also was armed with two knives and a cylindrical item, which he claimed was a bomb. Police and the Chowchilla Fire Department tried to subdue him by spraying him with a fire engine hose and by tasering him. Alvarado then allegedly charged at the officers, which resulted in one CHP officer and a Chowchilla Police officer to shoot and kill him.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","knife","attack","Not fleeing","No",93610,"Chowchilla","CA",37.100417,-120.27864,"http://www.fresnobee.com/news/local/crime/article164132172.html"
"Alejandro Hernandez",19.8345891436999,"26","Hispanic","Male","","2019-04-29","Phoenix Police Department","Gunshot","Officers responded to a reported violation of an order of protection around 9:45 a.m. at a home. Police said Alejandro Hernandez went to his parents' home, which was against the court order. He left by the time officers arrived. Police found Hernandez walking along a canal. Police said he had a sheet wrapped around an object that appeared to be a gun. Hernandez allegedly pointed the suspected weapon at officers several times before an officer shot and killed him. Police said a replica rifle was recovered.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","toy weapon","attack","Foot","No",85009,"Phoenix","AZ",33.45635,-112.12378,"https://www.abc15.com/news/region-phoenix-metro/central-phoenix/suspect-hurt-in-officer-involved-shooting-near-40th-and-van-buren-streets"
"Alejandro Salazar",7.72709448477984,"Unknown","Hispanic","Male","","2015-02-20","U.S. Marshals Service","Gunshot","""As the officers approached the vehicle, the suspect exited the vehicle with a weapon drawn and pointed it at the officers,"" Sgt. Cedrick Collier, with the Harris County Sheriff's Office, said. ""The officers at that point discharged their weapon, striking the suspect several times. The suspect was pronounced deceased at the scene.""","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",NA,"","",29.7863,-95.3889,"http://www.click2houston.com/news/deputy-involved-shooting-reported-in-n-harris-county/31386020"
"Alex Duran",6.52941883826223,"29","Hispanic","Male","http://www.fatalencounters.org/wp-content/uploads/2018/02/alex-duran.jpg","2018-02-06","Denver Police Department","Gunshot","Officers responded to a burglary in progress at a home shortly before 6 p.m. Officers were inside the home when Alex Duran “produced a knife” and was shot and killed by officers. No officers were injured.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","other","Not fleeing","No",80211,"Denver","CO",39.767536,-105.01973,"https://www.denverpost.com/2018/02/06/denver-shooting-south-alcott-street/"
"Alex Flores",5.57972982598622,"34","Hispanic","Male","","2019-11-19","Los Angeles Police Department","Gunshot","At about 8 a.m., an officer was flagged down by a person who said a man with a knife was walking northbound on Central. The officer spotted the shirtless man armed with a knife. Officers who responded reportedly saw the man confront a person with the knife, prompting that person to run away. Police made contact with the man, who was being ""confrontational,"" and police shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","other","","No",90011,"Los Angeles","CA",34.007063,-118.25868,"https://ktla.com/2019/11/19/police-shoot-kill-shirtless-man-wielding-a-knife-in-south-l-a/"
"Alex Garcia",9.76835487854463,"25","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Alex-Anthony-Garcia.jpg","2021-04-15","San Antonio Police Department","Gunshot","Officer Sauvage stopped a blue pickup truck around 11:27 a.m. Police said the vehicle came to a stop and Sauvage made contact with the occupants. When the officer opened the driver's door, the front seat passenger fired a handgun. The officer was struck on his hand, but he shot and killed the two occupants in the front--Sammie Joe Barbosa, 33, and Alex Anthony Garcia, 25--and wounded a woman in the back seat.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","","no",78227,"San Antonio","TX",29.405424,-98.63832,"https://abcnews.go.com/US/police-shoot-man-firing-indiscriminately-people-san-antonio/story?id=77102234"
